Blog	travel	master	nature	crowd	grandma	article	west	scott	research	general	account	false	tape	riding	willing	artist	production	daniel	dogs	aunt	tony	shared	foot	inspired	bless	toward	grant	obviously	similar	links	university	key	tuesday	speaking	miles	seat	label	hardcore	extended	download	eggs	easter	yard	reached	success	dressed	excellent	football	cards	cheap	jazz	direction	focus	adventure	hill	king	solo	flight	meaning	include	chose	joe	jon	term	rare	blogs	kinda	spoke	machine	twitter	heading	legs	copy	babies	data	records	breath	laughed	act	ah	dawn	states	html	relationship	basically	sea	community	santa	results	jesus	clearly	email	appeared	official	families	minor	hall	em	en	et	ep	pray	classic	recorded	till	ben	kick	candy	daddy	skin	texas	vinyl	language	according	nose	students	titled	search	throughout	create	bill	y	per	island	honestly	bus	path	ma	ms	program	presentation	design	scared	usual	member	series	showed	doors	camp	planned	previous	sigh	se	um	un	uk	race	packed	bike	interest	japan	created	board	appear	january	album	cars	british	national	asleep	ya	jeff	based	gonna	whose	meal	featured	mini	regular	explain	sugar	website	kim	character	bass	keith	cheese	nearly	blessed	bible	members	para	recording	extremely	common	fans	purpose	gifts	actual	limited	request	hospital	london	report	trust	cook	unfortunately	heat	heather	thursday	v	mommy	problems	river	van	holy	release	result	east	creative	slightly	offer	sale	social	blues	continued	paul	literally	archive	reality	familiar	youtube	mentioned	career	bay	suppose	wanna	slept	mark	bags	doctor	bread	build	lines	unless	player	metal	characters	precious	wood	review	kill	fat	trouble	various	whom	edge	york	chicken	english	goodness	singer	dave	split	decision	originally	internet	formed	former	november	uploaded	festival	thanksgiving	web	provide	easily	musical	prayer	nor	thankful	ring	vocals	america	discovered	stars	tracks	horse	grey	popular	wave	michael	allowed	hits	lose	library	north	likely	fantastic	tells	ears	cousin	seven	journey	performance	among	consider	images	restaurant	despite	que	justin	colors	conference	posts	guitar	lisa	christian	weight	musicians	peace	museum	clip	thus	perhaps	press	incredible	japanese	kelly	fairly	possibly	unique	bloody	vacation	period	image	content	pics	author	grace	moon	challenge	led	les	shall	animal	allow	david	study	strength	dc	da	du	dr	background	blast	hell	indeed	entirely	okay	concert	media	speed	towards	famous	faith	sharing	halloween	hadn	ha	recommend	shit	digital	effort	pizza	paid	seconds	videos	material	stood	airport	delicious	paint	mama	le	lo	lp	studio	greatest	bands	na	mso	performed	brothers	included	worse	tea	mission	reasons	pt	san	steve	issues	cross	example	price	bright	screen	joined	gorgeous	gold	available	readers	format	lord	magic	score	highly	war	becoming	grateful	certainly	presented	lol	cookies	damn	positive	noise	perfectly	demo	peter	attempt	modern	folks	managed	file	film	chris	simply	mid	interview	jack	weren	tom	plenty	expected	grab	released	chinese	remix	session	sex	ear	piano	mike	student	debut	ate	falling	punk	pages	via	plane	bowl	europe	doubt	involved	haha	market	james	flowers	albums	performances	reach	plays	artists	force	grade	somewhat	lyrics	grown	milk	french	california	everyday	particular	gotten	youth	mountain	entry	google	favourite	dan	sadly	text	practice	blessings	j	paris	christ	difference	bathroom	hearts	wide	energy	suddenly	font	notes	closer	el	er
McPherson Marathon	11	4	4	2	27	1	6	0	1	6	3	0	13	13	20	1	0	0	29	52	3	8	12	3	1	2	0	2	4	0	1	10	6	2	37	26	0	0	5	3	23	26	8	1	3	20	0	8	11	7	0	2	3	62	23	2	0	16	1	5	4	6	802	3	8	1	5	4	12	0	1	12	3	8	0	0	7	20	2	3	3	9	0	0	8	13	4	7	1	30	7	2	0	12	40	3	1	3	0	2	0	19	3	0	0	0	4	28	37	1	12	0	4	1	3	0	3	4	8	1	4	5	3	25	2	1	2	0	3	4	3	4	4	1	4	3	9	6	35	18	4	0	0	1	0	0	50	15	15	2	2	6	3	0	1	1	15	0	14	7	1	0	4	2	4	21	2	17	11	7	14	2	0	8	1	0	11	0	6	31	4	0	0	9	1	1	1	10	3	3	2	29	0	1	7	14	3	7	0	19	9	20	1	12	13	0	1	0	4	4	2	2	5	1	0	3	1	3	0	3	2	3	8	0	1	0	0	29	4	23	25	11	7	11	5	3	0	0	2	11	2	2	2	3	1	0	0	0	23	8	2	0	8	4	3	2	16	0	4	3	1	7	14	0	1	4	1	9	0	49	6	0	23	0	2	0	5	1	3	2	2	17	2	3	5	18	2	0	4	1	20	0	11	8	1	0	0	17	0	6	2	3	5	7	0	16	3	17	0	3	14	1	1	0	0	0	31	109	0	7	1	6	14	0	0	0	1	0	5	2	4	1	0	1	4	2	0	25	1	13	1	0	10	4	18	0	0	1	1	3	0	10	9	1	3	10	0	3	1	6	0	0	2	30	7	8	6	10	10	5	0	10	1	0	0	0	0	5	1	0	0	0	5	5	5	17	7	1	4	0	2	6	8	1	4	1	6	10	0	5	1	0	0	14	1	6	11	21	1	4	0	1	0	13	0	1	2	5	2	1	17	1	0	16	0	1	0	2	3	0	1	3	0	12	6	5	3	1	0	8	0	7	0	0	0	1	45	6	0	8	0	21	6	0	1	3	0	8	1	4	0	0	4	3	0	11	10	4	0	5	5	2	1	13	1	14	4	51	4	4	0	0	2	1	9	0	1	0	2	12	22	0	3	4	0	1	5	11	0	8
Oxygen	2	2	2	1	0	0	5	0	0	2	0	0	0	1	0	1	0	0	5	0	0	2	0	0	0	0	0	0	5	1	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	6	1	0	2	0	1	0	0	2	0	3	4	1	0	0	0	1	0	0	0	0	0	0	0	3	0	5	0	1	0	0	0	1	0	1	1	0	0	0	6	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	1	0	1	21	0	0	2	0	0	1	0	0	0	1	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	1	11	1	1	0	0	0	0	0	3	0	1	0	1	3	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	1	7	0	0	0	2	0	1	1	0	0	4	1	0	1	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	3	4	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	7	0	1	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	2	0	0	0	11	1	1	0	1	0	1	1	0	3	0	2	2	0	0	0	1	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	8	0	0	0	1	1	0	2	1	1	0	0	0	0	1	0	0	0	0	0	3	0	2	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	4	0	0	5	1	2	1	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	0	0	0	0	3	0	0	1	4	0	4	1	0	0	0	0	0	1	0	2	0	0	0	2	0	3	0	1	0	0	0	0	2	0	2	1	3	0	0	1	0	0	2	0	1	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0
The Gridley Times	0	1	0	0	1	0	2	0	1	0	0	0	0	1	1	2	0	1	0	0	0	0	1	0	2	0	0	0	1	0	1	0	1	1	5	0	1	0	0	0	5	0	5	1	1	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	3	0	1	0	2	4	0	0	0	0	1	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	2	3	0	0	4	1	0	0	1	0	0	0	2	1	0	1	53	0	1	2	0	0	1	0	0	2	0	0	0	1	1	0	1	2	0	5	2	0	1	0	0	0	0	1	0	1	1	0	1	1	0	1	0	0	2	0	0	5	1	0	0	0	0	0	0	3	0	0	0	0	0	8	0	0	6	0	1	0	0	0	0	0	1	0	1	0	0	1	1	3	0	0	0	0	1	1	0	0	0	2	0	0	7	0	1	1	0	0	0	0	3	0	1	0	1	1	1	0	2	1	2	0	1	3	0	0	0	0	2	0	0	1	0	0	0	0	0	4	0	0	2	3	0	0	1	0	0	0	1	7	3	1	0	2	1	0	0	0	0	0	0	3	0	0	0	1	1	0	1	0	5	0	0	0	0	0	1	0	0	0	2	1	0	0	3	0	0	0	3	0	0	0	0	0	0	2	1	1	0	2	8	1	1	0	0	1	0	1	0	3	0	0	4	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	5	0	2	1	1	0	0	3	1	0	0	1	2	0	0	0	0	2	2	0	0	0	7	5	0	0	1	1	1	0	4	1	0	2	0	0	1	0	1	4	0	2	0	1	0	0	6	0	0	0	0	0	0	0	0	1	3	0	1	0	5	1	0	0	0	1	1	0	3	1	0	0	1	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	2	1	0	0	0	1	0	0	1	4	0	0	0	0	0	0	0	1	0	4	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	2	1	0	2	2	0	2	0	1	9	1	1	1	1	0	0	1	0	1	0	0	0	1	1	2	2	0	0	0	0	0	1	0	1
Babs' Blog and the NEW Kelly Report!	2	1	1	4	2	0	2	0	1	1	0	0	0	3	2	1	0	0	0	16	0	0	2	0	1	6	0	0	0	0	0	1	2	0	7	6	0	0	1	0	3	15	8	0	6	9	0	4	14	0	0	3	2	8	1	0	0	3	5	2	2	0	0	0	1	0	1	0	0	0	7	0	0	8	0	0	2	2	1	2	1	1	0	0	1	6	5	13	0	0	0	0	1	1	2	0	1	2	0	0	0	1	1	0	4	0	4	5	23	0	0	0	1	1	4	0	0	2	0	5	0	1	0	2	2	0	1	1	0	4	0	2	8	8	0	1	6	2	5	0	2	2	0	6	0	0	0	3	3	6	0	1	1	1	5	1	5	0	1	4	2	2	0	6	0	1	0	5	3	3	5	2	8	1	0	0	0	0	5	0	0	0	0	1	0	0	0	4	5	0	0	3	1	7	0	1	3	0	0	1	0	63	2	0	0	0	0	1	8	3	1	1	0	3	1	10	3	5	0	0	3	0	3	0	5	0	8	0	0	2	10	0	2	0	0	3	0	4	2	1	0	1	1	2	0	3	1	8	2	0	0	0	0	0	1	0	0	0	0	6	0	1	21	1	1	1	1	0	0	6	2	0	0	4	0	1	1	3	1	2	2	2	2	1	3	5	4	2	1	3	12	0	5	0	0	0	1	1	8	0	0	3	0	2	2	0	0	0	0	1	4	0	0	1	0	2	2	388	1	2	0	0	4	0	2	1	1	1	0	0	2	2	0	1	9	2	0	0	0	0	0	0	3	0	21	1	1	0	0	1	0	2	3	0	1	6	44	0	13	1	0	2	0	3	0	2	2	0	3	5	3	1	0	0	0	0	1	0	0	0	0	0	2	1	1	1	3	0	0	12	10	0	0	0	1	1	1	2	0	1	2	1	0	0	1	0	1	0	4	3	4	0	0	4	0	4	1	1	0	0	1	0	2	8	0	1	0	1	6	0	0	1	1	2	2	3	0	0	0	2	0	1	1	1	0	0	4	1	0	0	0	9	1	1	0	5	0	3	22	1	0	0	1	3	1	2	2	3	0	8	1	0	5	1	5	2	0	2	1	1	0	0	1	0	1	1	0	0	0	3	1	1	1	0	1	0	1	1	0	2
By Dezign	1	0	6	1	2	2	0	0	0	2	7	0	1	1	0	1	0	0	6	4	0	105	3	7	1	0	0	0	3	12	0	2	7	1	0	1	1	0	1	15	0	7	0	0	4	5	0	0	4	2	1	4	0	0	2	1	0	1	1	1	1	0	1	1	0	13	0	1	2	0	1	0	3	2	1	0	0	1	1	0	1	1	91	0	1	0	10	5	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	2	6	0	0	0	0	0	0	2	0	0	0	1	19	0	0	2	0	0	11	1	1	0	0	0	12	1	12	6	3	0	1	0	0	1	0	0	0	0	7	10	4	15	0	1	18	1	0	4	0	3	3	4	1	1	0	0	1	0	0	0	23	5	0	3	1	168	3	0	0	0	6	7	0	3	0	0	3	1	1	1	1	2	10	1	0	0	0	1	0	11	2	0	6	0	1	2	0	0	0	5	3	0	4	6	13	36	2	2	0	0	2	0	1	0	0	9	0	1	1	0	1	0	23	6	0	5	1	0	0	2	0	7	1	0	0	0	5	2	1	1	0	0	0	7	0	1	0	0	0	6	1	0	5	1	0	6	0	0	0	1	2	0	2	1	0	1	2	4	1	5	3	3	0	0	1	1	4	3	0	0	7	1	3	5	0	2	0	0	0	5	0	0	0	1	3	0	4	0	0	0	2	0	2	0	1	0	0	0	4	0	0	1	1	2	0	0	1	2	1	4	0	0	0	34	0	0	0	4	0	1	0	0	2	0	0	1	2	3	0	0	1	0	1	0	1	1	2	0	2	0	0	1	0	0	2	1	0	1	1	0	0	2	1	1	0	3	0	88	0	2	1	1	0	0	0	0	9	4	6	0	0	0	0	1	0	1	1	13	1	1	5	34	7	16	9	2	0	1	0	0	1	0	0	0	1	79	1	3	0	0	1	0	2	2	2	1	10	101	0	1	2	1	0	0	1	0	1	0	55	3	2	0	0	1	2	0	0	2	0	1	0	0	5	1	0	2	1	0	6	0	0	0	12	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	23	0	0	2	2	5	0	0	0	3	1	3	3	0	0	0	1	0	0	0
BONBON'S BLOG	2	0	1	0	0	0	0	0	4	1	7	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	4	0	0	0	6	0	0	0	2	4	6	2	5	1	1	0	1	0	1	1	0	3	0	2	0	0	1	1	0	0	1	2	3	0	2	0	1	1	1	1	0	0	2	6	2	0	0	0	0	0	1	5	1	1	0	6	0	0	1	0	0	1	0	2	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	1	2	1	0	1	0	1	8	1	3	3	3	0	4	2	0	0	5	3	5	14	0	2	0	1	0	0	0	1	1	3	1	2	5	0	0	0	4	0	1	0	0	0	1	2	0	0	2	1	1	2	0	0	0	3	1	0	0	1	0	4	1	3	0	0	0	0	1	1	0	0	0	2	4	0	1	0	1	18	0	5	0	0	1	1	6	0	0	0	0	0	1	0	1	0	2	0	0	2	8	1	2	1	1	3	2	1	0	0	0	1	2	1	6	2	1	0	0	2	1	1	2	1	1	3	4	5	1	0	0	0	0	1	2	2	0	0	7	0	1	0	7	0	2	0	0	3	3	1	0	0	2	5	4	0	0	2	0	0	0	0	4	13	2	0	1	0	0	4	0	0	5	0	6	1	3	1	0	0	0	0	0	0	0	0	1	0	2	1	6	0	13	0	0	1	0	0	1	0	0	5	0	4	1	0	0	0	2	4	0	0	3	0	1	0	4	1	0	0	0	2	8	0	4	1	0	10	0	1	3	3	5	3	0	1	0	0	0	4	1	8	5	2	1	1	0	1	0	0	1	3	1	0	0	0	0	0	0	0	0	1	0	1	4	0	6	0	0	0	2	1	0	3	2	0	2	0	5	0	0	2	0	2	4	0	0	5	0	0	1	0	0	6	1	2	0	1	0	7	1	0	2	3	25	0	1	5	0	0	0	0	0	4	0	1	9	0	2	0	3	39	0	0	0	2	3	0	1	0	0	0	3	2	1	16	1	1	0	0	0	1	1	0	1	2	2	1	1	2	6	0	1	0	0	1	0	0	2	0	0	0	1	2	0	0	0	0	1	0	0	0	1	8	0	3	1	0	1
Payton Family	29	2	2	6	4	0	30	1	6	7	8	12	2	7	3	2	3	37	28	68	168	8	19	2	42	8	5	8	3	6	3	4	35	13	13	4	3	0	3	5	19	40	31	3	3	16	4	2	9	4	0	2	5	4	23	2	0	11	9	0	2	1	7	17	3	8	0	19	12	0	19	12	11	12	2	3	14	16	0	4	11	5	3	0	3	7	5	8	8	1	4	29	1	6	11	5	19	1	4	0	0	13	3	2	60	0	8	0	10	9	0	0	5	2	3	10	0	6	3	1	202	5	4	2	1	22	4	3	0	5	2	1	9	59	4	0	13	19	22	10	8	0	0	0	0	2	7	11	8	10	2	0	10	2	16	3	11	0	11	18	12	0	2	2	1	7	0	1	7	7	6	4	0	4	3	0	1	18	5	4	7	10	1	6	2	2	1	13	5	5	1	75	16	14	5	50	9	15	0	37	6	0	19	33	6	2	1	1	5	0	1	8	6	10	7	1	1	3	0	1	1	0	23	6	88	13	1	5	59	24	19	7	10	6	5	0	1	6	5	27	0	3	10	35	2	2	6	1	5	6	9	0	6	3	4	6	23	0	0	14	0	14	1	3	5	9	0	4	5	4	40	0	1	7	2	6	21	10	1	3	5	12	2	13	1	22	23	32	7	3	5	3	2	4	2	1	6	7	1	0	0	0	4	33	6	119	1	12	0	10	1	1	2	19	4	13	2	41	8	4	1	62	0	9	6	1	82	0	3	2	14	2	0	0	4	3	4	21	4	0	1	0	20	6	6	23	4	3	3	9	2	2	4	1	4	6	21	23	46	1	3	1	16	2	12	2	2	2	3	13	7	7	0	2	1	0	3	3	1	0	57	4	4	2	14	32	1	4	17	3	44	2	7	1	4	3	9	5	13	13	13	4	0	8	10	4	3	3	2	6	24	1	5	1	2	2	8	3	3	105	3	1	15	30	3	2	4	11	8	7	5	8	52	21	16	5	0	7	0	1	0	3	0	9	5	3	9	9	0	4	10	4	0	5	9	5	2	1	1	18	0	1	2	6	1	5	0	2	0	13	9	2	0	7	4	1	3	10	10	6	14	22	4	17	5	4	3	1	0	9	19	6	8	3	4	20	21	10	0	2
That's What I Was Going To Say	11	7	2	123	2	10	37	26	8	22	45	4	25	6	30	50	33	14	14	0	7	35	11	37	1	31	0	27	28	12	14	11	12	14	17	5	129	17	6	34	35	27	5	27	64	10	90	3	11	18	22	19	20	3	14	26	68	8	17	28	23	26	6	23	30	41	4	8	32	127	9	3	39	8	3	224	5	5	46	5	3	23	0	6	18	1	28	3	19	2	30	72	85	20	4	39	6	18	2	6	72	4	100	105	0	2	22	10	2	4	7	94	21	12	7	3	41	25	79	41	20	26	43	13	8	1	12	7	22	28	6	10	5	24	32	139	32	20	3	16	37	6	1	6	7	114	6	7	2	34	9	59	16	22	27	615	15	38	46	8	10	21	91	16	48	8	52	28	66	18	4	58	9	19	59	12	4	68	4	0	55	5	83	19	29	111	14	2	26	14	184	9	13	16	14	9	43	14	6	5	4	1	2	2	12	9	120	38	21	20	27	39	5	79	21	49	29	30	3	12	38	16	34	51	8	8	33	3	59	5	22	6	18	24	14	46	24	27	3	2	21	9	2	8	41	29	16	63	7	35	7	55	24	37	18	46	26	58	25	53	4	2	7	7	31	44	97	2	30	12	14	83	25	37	9	94	2	10	42	437	25	12	75	17	9	21	39	69	9	29	1	24	17	47	151	26	18	9	68	0	1	8	1	116	74	0	2	4	53	15	3	168	6	62	21	31	16	8	30	12	26	2	5	22	86	25	17	8	5	11	14	22	6	11	6	15	40	4	10	41	46	1	5	8	14	58	53	18	1	19	39	16	42	14	1	41	10	22	12	58	3	14	37	2	11	9	37	127	15	1	11	12	0	1	7	99	54	67	289	0	21	10	18	53	21	13	8	20	4	21	69	19	20	28	21	17	47	26	4	10	45	65	14	3	15	8	53	16	26	8	66	26	0	0	64	17	25	27	20	24	14	25	140	17	8	45	17	101	53	22	11	25	56	14	22	13	232	1	1	11	48	26	8	41	4	137	2	17	296	8	116	19	1	7	17	22	0	30	28	7	152	14	43	14	64	20	10	44	77	10	4	40	16	0	39	18	21	4	190	25	3	8	41	4	2	1	3	2	1	12	1	6	24	49	33	10	14	18	6	11
Blogging Is For Lovers	9	1	6	5	1	4	1	7	0	7	1	1	2	10	4	0	0	1	4	14	0	3	2	7	3	6	13	10	6	1	5	2	5	8	3	1	0	0	1	0	4	8	4	0	2	9	3	0	3	11	0	4	5	2	5	3	0	6	7	0	3	4	0	2	1	2	11	1	0	5	1	3	3	18	0	2	8	7	5	1	0	5	0	7	25	4	7	1	1	4	0	4	2	3	5	3	4	2	1	0	0	2	1	1	0	10	4	9	1	5	0	0	16	0	1	3	0	5	3	3	4	19	1	4	9	2	2	2	5	7	0	0	1	3	7	4	5	4	2	4	1	13	0	4	1	3	1	0	8	3	0	3	15	0	1	0	6	2	21	2	5	10	10	5	1	5	0	7	2	5	20	5	1	4	0	0	2	1	7	1	4	0	0	7	10	0	1	3	4	2	4	2	8	4	7	8	5	1	1	6	3	0	0	3	1	6	2	3	4	4	0	6	2	7	0	0	2	6	0	6	4	8	4	1	1	7	0	0	4	2	1	7	1	5	4	0	3	5	1	0	1	5	7	0	3	7	1	4	6	5	6	1	0	3	9	4	9	0	1	1	0	0	4	0	5	7	2	3	3	1	4	0	16	3	3	2	1	2	8	1	4	7	1	2	3	0	2	7	1	1	0	4	1	2	2	1	2	5	2	1	3	8	11	14	1	4	3	2	0	7	18	0	0	2	0	5	0	0	3	11	3	0	5	3	0	5	1	3	2	0	17	1	3	11	4	4	6	1	6	48	1	1	1	3	1	0	7	1	4	2	7	0	0	13	7	4	3	3	4	5	1	2	7	5	3	2	8	2	3	9	15	3	5	3	1	0	0	9	0	1	0	1	0	3	3	4	8	11	0	25	1	1	8	10	1	9	7	3	23	2	5	2	0	8	3	2	5	6	5	34	4	1	0	4	0	6	2	4	0	3	2	0	1	2	1	4	0	6	2	0	0	6	2	10	10	3	0	1	0	1	0	2	1	2	4	0	13	2	2	3	7	5	1	5	10	4	0	12	3	5	1	3	1	1	3	2	7	4	2	1	5	4	2	14	3	9	2	2	1	3	0	0	1	4	3	3	3	7	5	5	3	1	0	3	0	1	5	5	0	0
douce	0	1	6	0	0	2	1	1	0	1	1	0	0	0	4	2	0	0	1	0	0	0	0	1	0	0	0	6	6	1	3	1	1	7	0	0	0	0	0	0	0	2	0	0	3	0	1	0	0	2	4	0	1	1	0	1	3	1	5	2	5	0	1	1	2	3	0	2	1	2	0	1	2	3	0	0	2	1	7	10	1	0	1	1	6	5	3	3	0	2	3	1	0	2	0	0	5	1	12	291	0	4	0	0	0	1	1	2	0	1	1	0	1	1	1	1	2	0	0	5	0	2	0	0	1	7	3	404	0	0	5	2	13	0	0	1	2	1	0	0	1	1	1	1	2	2	0	3	0	3	0	0	4	0	0	0	0	1	2	1	3	0	1	26	1	1	0	0	0	1	0	1	0	2	0	0	3	1	0	0	0	0	1	0	22	1	12	2	1	0	0	0	0	2	8	0	0	2	0	2	442	0	8	3	2	3	0	2	0	1	0	1	0	8	1	1	0	2	0	8	1	7	1	0	0	0	3	2	2	4	2	1	1	1	4	3	1	0	4	0	0	6	0	5	2	3	3	0	1	4	1	1	2	0	2	0	11	1	0	0	1	7	0	0	0	4	3	4	4	0	0	0	1	1	0	0	0	4	0	3	2	0	0	8	3	0	2	1	0	4	0	0	1	4	0	0	0	0	2	2	0	5	0	4	0	0	0	1	0	26	0	0	1	2	1	0	1	0	0	2	2	1	3	0	0	0	1	1	1	2	0	1	29	2	3	1	1	8	7	0	27	4	0	12	0	7	1	0	10	1	1	1	4	3	22	2	0	2	16	2	20	1	4	2	2	1	3	1	0	1	0	1	1	39	4	0	3	1	0	51	0	7	0	1	4	33	0	0	0	1	0	1	1	3	2	0	0	0	1	3	0	0	0	3	3	0	0	7	1	1	0	1	0	3	4	3	3	1	0	0	0	0	0	1	0	4	1	1	0	1	0	2	1	1	3	0	1	0	0	1	2	3	3	0	1	0	0	4	2	1	1	0	1	0	1	0	14	0	0	7	0	4	1	0	3	1	0	0	1	1	1	8	1	13	0	1	3	5	0	1	2	3	1	0	4	1	174	3	0	4	3	11	0	6	8	0	2	2	0	0
Blissfully Enamored	2	4	0	0	5	1	2	0	1	3	1	0	1	2	1	0	0	0	16	3	0	1	0	8	3	1	0	4	0	0	3	1	19	2	2	1	5	1	0	2	5	4	5	1	1	2	0	0	14	9	0	0	1	5	1	7	0	0	5	2	0	2	2	0	0	11	0	1	5	13	0	2	1	2	0	0	1	1	0	0	0	2	1	2	16	0	0	0	1	1	8	43	0	8	2	0	0	5	0	0	0	8	4	1	0	0	2	2	0	1	38	0	0	2	1	2	0	1	2	5	0	2	2	1	7	0	4	0	0	1	0	5	2	0	3	5	2	0	0	2	3	0	0	1	0	0	0	1	1	1	0	2	0	0	2	1	0	1	0	2	11	0	2	0	0	9	1	2	6	5	8	51	1	1	0	0	36	0	4	11	2	0	0	1	0	2	0	23	3	1	0	4	0	0	1	30	0	10	2	14	4	0	0	1	0	20	0	0	4	5	4	12	16	0	2	1	0	14	0	3	8	1	4	0	0	2	0	0	2	4	7	5	2	4	3	0	2	0	14	7	8	6	13	3	3	0	2	4	32	4	0	0	2	0	7	1	3	0	0	4	2	0	3	1	2	5	1	8	0	26	1	0	2	1	2	0	0	0	3	2	0	1	1	0	0	0	1	0	2	3	0	5	3	0	1	2	1	9	0	0	3	22	1	7	0	0	8	5	1	0	0	0	0	0	0	1	0	3	1	13	7	0	3	0	0	2	6	0	17	0	2	2	0	0	4	1	3	8	1	0	2	2	1	6	2	0	0	0	34	1	2	2	3	4	3	2	3	1	13	0	0	2	3	2	1	3	0	3	1	0	8	15	2	2	0	0	2	0	0	0	0	0	0	1	0	25	6	0	0	1	3	0	1	4	7	1	0	0	5	10	6	2	1	5	1	2	0	2	2	1	0	0	0	11	0	0	0	5	0	0	0	2	5	1	0	2	1	1	3	7	2	2	1	3	0	19	0	4	0	0	0	2	1	0	3	3	2	0	0	6	5	0	20	0	3	4	4	10	7	2	0	0	2	0	0	0	9	2	0	4	10	4	0	1	7	12	0	0	21	1	0	0	5	1	3	0	4	0	0	5	6	0	0	2	0	1	1	4	0	0
adelaide & louisa	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	2	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	3	0	11	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	1	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	12	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	2	2	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	0	0	0	0	1	0	1
